Symptom,Condition,Treatment,Precaution,Medicine,Effectiveness
Fever,Seasonal Flu,"Rest, antiviral medication, hydration","Flu vaccination, avoid crowded places",Oseltamivir if prescribed,Very High
Fever,Exam Stress Fever,"Rest, cooling measures, stress management","Regular breaks, proper sleep",Paracetamol,Moderate
Fever,Covid-19 Symptoms,"Isolation, medical attention, rest","Vaccination, mask wearing, social distance",As prescribed by doctor,Very High
Headache,Dehydration Headache,"Fluid intake, electrolytes, rest","Regular water intake schedule",Electrolyte solution + Paracetamol,High
Headache,Sinus Pressure,"Steam inhalation, nasal decongestants","Avoid allergens, proper humidity",Nasal spray + Pain relievers,High
Headache,Screen Time Related,"Blue light filters, breaks, eye exercises","20-20-20 rule, proper lighting",Pain relievers + Eye drops,Moderate
Stomach Pain,Exam Anxiety,"Relaxation techniques, light meals","Stress management, regular meals",Antacids + Anti-anxiety herbs,High
Stomach Pain,Lactose Intolerance,"Dairy alternatives, enzyme supplements","Avoid dairy products",Lactase enzymes,Very High
Stomach Pain,Appendicitis Symptoms,"Immediate medical attention","Regular health check-ups",Emergency medical care,Very High
Diarrhea,Cafeteria Food Reaction,"BRAT diet, probiotics, hydration","Food safety awareness",ORS + Probiotics,High
Diarrhea,Stress-Induced,"Stress management, diet modification","Regular eating schedule",Anti-diarrheal + Probiotics,Moderate
Diarrhea,Antibiotics Related,"Probiotics, yogurt, hydration","Complete prescribed course",Probiotic supplements,High
Constipation,Exam Stress Related,"Fiber-rich diet, stress management","Regular exercise, water intake",Fiber supplements,High
Constipation,Travel Related,"Increased water, movement","Maintain routine while traveling",Mild laxatives,Moderate
Fatigue,Anemia,"Iron supplements, proper diet","Regular blood tests, iron-rich foods",Iron supplements,Very High
Fatigue,Depression Symptoms,"Professional help, exercise","Regular counseling, social support",Professional evaluation needed,High
Fatigue,Mono/Glandular Fever,"Complete rest, hydration","Avoid sharing drinks/food",Supportive care as prescribed,Very High
Eye Strain,Online Class Fatigue,"Screen breaks, eye exercises","Proper screen distance, lighting",Artificial tears + Computer glasses,High
Eye Strain,All-Night Study,"Regular breaks, proper lighting","Study schedule planning",Lubricating drops,High
Back Pain,Gaming Posture,"Ergonomic setup, exercises","Proper gaming chair, breaks",Muscle relaxant gel,High
Back Pain,Lab Work Strain,"Stretching exercises, proper posture","Ergonomic lab setup",Anti-inflammatory gel,Moderate
